Id,Label,Degree,Betweenness,Expression,,,,,,Label,Betweenness,,
ENSMUSP00000003115,Cdkn1b,3,1443.8,0,,,,,,Hsp90b1,2987.17,,
ENSMUSP00000070993,Ywhae,3,1443.11,0,,,,,,Myh11,2741.7,,
ENSMUSP00000047261,Mmp1b,3,1341.88,0,,,,,,Yes1,2724.69,,
ENSMUSP00000034492,Mmp1a,3,1341.88,0,,,,,,Fgf1,2714.3,,
ENSMUSP00000006037,Ncoa2,3,1176.74,0,,,,,,Akap9,2710.02,,
ENSMUSP00000082827,Smurf1,3,1157.17,0,,,,,,Actr1a,2710.02,,
ENSMUSP00000090177,Smurf2,3,1157.17,0,,,,,,Hnf4a,2702.28,,
ENSMUSP00000028817,Pcna,3,1136.22,0,,,,,,Erbb4,2641.03,,
ENSMUSP00000004330,Ikbkg,3,1100.77,0,,,,,,Map3k1,2579.93,,
ENSMUSP00000036384,Rac2,3,1073.14,0,,,,,,Prkaca,2531.87,,
ENSMUSP00000018156,Rac3,3,1073.14,0,,,,,,Lef1,2492.67,,
ENSMUSP00000060082,Oas2,3,978.56,0,,,,,,Kdm1a,2429.29,,
ENSMUSP00000079198,Oas1a,3,978.56,0,,,,,,Oasl1,2386.03,,
ENSMUSP00000035588,Oas3,3,978.56,0,,,,,,Nras,2366.36,,
ENSMUSP00000083555,Oas1g,3,978.56,0,,,,,,Crk,2341.37,,
ENSMUSP00000026999,Smad7,3,972.42,0,,,,,,Myl2,2285.01,,
ENSMUSP00000021674,Fos,3,949.73,0,,,,,,Ubb,2237.15,,
ENSMUSP00000107576,Mapk8,3,876.97,0,,,,,,Itch,2237.15,,
ENSMUSP00000050683,Foxo3,3,853.38,0,,,,,,Ctnnd1,2230.43,,
ENSMUSP00000029170,Rbl1,3,847.95,0,,,,,,Fgf2,2205.84,,
ENSMUSP00000022701,Rb1,3,796.88,0,,,,,,Cd86,2198.77,,
ENSMUSP00000027377,Igfbp5,3,754.39,44.30515839,,,,,,Fyn,2175.47,,
ENSMUSP00000103245,Klf4,3,675.89,0,,,,,,Tjp1,2153.26,,
ENSMUSP00000035092,Myd88,3,649.33,0,,,,,,Ly86,2144.43,,
ENSMUSP00000014174,Pax5,3,488.71,0,,,,,,Jak3,2115.64,,
ENSMUSP00000085030,Tnip2,3,471.38,75.43796104,,,,,,Jak1,2115.64,,
ENSMUSP00000069416,Itgb5,3,256.44,0,,,,,,Tlr7,2095.84,,
ENSMUSP00000087457,Itgb1,3,256.44,0,,,,,,Nr0b2,2092.64,,
ENSMUSP00000101898,Ube2d3,3,242.25,0,,,,,,Chek2,2084.6,,
ENSMUSP00000020085,Ube2d1,3,242.25,0,,,,,,Nr4a1,2078,,
ENSMUSP00000075463,Pdgfa,3,240.93,0,,,,,,Crkl,1991.61,,
ENSMUSP00000000500,Pdgfb,3,240.93,0,,,,,,Rspo2,1972.68,,
ENSMUSP00000036066,Tcl1,3,204.04,58.43176237,,,,,,Ifi204,1932.88,,
ENSMUSP00000021898,Shc3,3,108.17,0,,,,,,Runx1,1879,,
ENSMUSP00000029053,Ptpn1,3,108.17,0,,,,,,Ikbkb,1867.96,,
ENSMUSP00000129491,Shc2,3,108.17,0,,,,,,Cdk6,1852.01,,
ENSMUSP00000043146,Shc4,3,108.17,0,,,,,,Sp1,1835.48,,
ENSMUSP00000028278,Psmd14,3,101.56,0,,,,,,Tapbp,1818,,
ENSMUSP00000041968,Psmd7,3,101.56,0,,,,,,Rbpj,1818,,
ENSMUSP00000102857,Psmd4,3,101.56,0,,,,,,Plaur,1818,,
ENSMUSP00000129767,Psma2,3,101.56,0,,,,,,Pdia3,1818,,
ENSMUSP00000071054,Psmc3,3,101.56,0,,,,,,Parp9,1818,,
ENSMUSP00000032824,Psmc4,3,101.56,0,,,,,,P4hb,1818,,
ENSMUSP00000027432,Psmd1,3,101.56,0,,,,,,Max,1818,,
ENSMUSP00000030769,Psmc2,3,101.56,0,,,,,,Lrrfip1,1818,,
ENSMUSP00000021049,Psmc5,3,101.56,0,,,,,,Hcfc1,1818,,
ENSMUSP00000021595,Psmc1,3,101.56,0,,,,,,Gadd45b,1818,,
ENSMUSP00000022380,Psmc6,3,101.56,0,,,,,,Pak1,1661.83,,
